# https://api.iota-nodes.net and whois results
# IOTA
IP Address|Port|Version|ASN|BGP Prefix|CC|Registry|Allocated
104.21.85.99|443|0.5.6|13335|104.21.80.0/20|US|arin|2014-03-28|CLOUDFLARENET, US
116.203.47.233|14267|0.5.6|24940|116.203.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
144.91.90.115|14265|0.5.6|51167|144.91.90.0/23|DE|ripencc|1990-11-20|CONTABO, DE
164.68.111.63|443|0.5.6|51167|164.68.110.0/23|DE|ripencc|1992-12-17|CONTABO, DE
172.67.204.112|443|0.5.6|13335|172.67.192.0/20|US|arin|2015-02-25|CLOUDFLARENET, US
173.249.11.104|14265|0.5.6|51167|173.249.10.0/23|DE|ripencc|2010-05-26|CONTABO, DE
173.249.16.120|14265|0.5.6|51167|173.249.16.0/23|DE|ripencc|2010-05-26|CONTABO, DE
178.254.38.18|14267|0.5.6|42730|178.254.32.0/20|DE|ripencc|2010-06-18|EVANZOAS, DE
185.31.77.90|14265|0.5.6|60422|185.31.76.0/22|DK|ripencc|2013-07-22|PH-AS, DK
185.53.131.77|14265|0.5.6|43350|185.53.131.0/24|GB|ripencc|2014-04-10|NFORCE, NL
195.201.114.197|14265|0.5.6|24940|195.201.0.0/16|DE|ripencc|1997-09-22|HETZNER-AS, DE
195.201.26.128|443|0.5.6|24940|195.201.0.0/16|DE|ripencc|1997-09-22|HETZNER-AS, DE
207.180.202.219|14265|0.5.6|51167|207.180.202.0/23|DE|ripencc|1996-08-21|CONTABO, DE
207.180.218.59|14265|0.5.6|51167|207.180.218.0/23|DE|ripencc|1996-08-21|CONTABO, DE
207.180.223.97|14265|0.5.6|51167|207.180.222.0/23|DE|ripencc|1996-08-21|CONTABO, DE
207.180.225.229|14265|0.5.6|51167|207.180.224.0/23|DE|ripencc|1996-08-21|CONTABO, DE
207.180.242.11|14267|0.5.6|51167|207.180.242.0/23|DE|ripencc|1996-08-21|CONTABO, DE
213.136.94.51|14265|0.5.6|51167|213.136.94.0/23|DE|ripencc|2000-02-28|CONTABO, DE
35.187.163.51|443|0.5.4|15169|35.187.160.0/19|US|arin|2016-10-11|GOOGLE, US
46.85.95.139|14265|0.5.6|3320|46.80.0.0/12|DE|ripencc|2010-06-07|DTAG Internet service provider operations, DE
52.166.107.53|443|0.5.6|8075|52.160.0.0/11|US|arin|2015-11-24|MICROSOFT-CORP-MSN-AS-BLOCK, US
85.214.91.58|14267|0.5.6|6724|85.214.0.0/15|DE|ripencc|2005-02-24|STRATO STRATO AG, DE
90.152.143.97|443|0.5.6|8562|90.152.128.0/17|AT|ripencc|2006-10-26|LICPLUS-AS, AT
90.187.13.169|14265|0.5.6|3209|90.187.0.0/16|DE|ripencc|2006-11-09|VODANET International IP-Backbone of Vodafone, DE
94.16.108.106|14267|0.5.6|197540|94.16.108.0/22|DE|ripencc|2008-06-05|NETCUP-AS netcup GmbH, DE
95.179.240.183|14265|unknown|20473|95.179.240.0/20|US|ripencc|2009-01-22|AS-CHOOPA, US
