# https://nemnodes.org and whois results
# NEM
IP Address|Port|Version|OS|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
103.192.177.252|7890|0.6.97|Linux|36351|103.192.176.0/23|HK|apnic|2015-07-21|SOFTLAYER, US
103.225.161.89|7890|0.6.97|Linux|59356|103.225.160.0/22|AU|apnic|2014-02-07|VMCENTRAL-AS-AP VMCENTRAL Cloud Services, AU
103.42.225.46|7890|0.6.97|Windows Server 2012 R2|133525|103.42.224.0/23|AU|apnic|2014-11-12|SERVERMULE-AS-AP Nimbus2 Pty Ltd, AU
104.128.68.101|7890|0.6.97|Linux|53340|104.128.68.0/23|US|arin|2014-05-27|FIBERHUB, US
104.128.68.102|7890|0.6.97|Linux|53340|104.128.68.0/23|US|arin|2014-05-27|FIBERHUB, US
104.237.5.122|7890|0.6.97|Linux|394727|104.237.5.0/24|US|arin|2014-11-03|NODISTO, US
104.238.161.61|7890|0.6.97|Linux|20473|104.238.160.0/23|US|arin|2014-11-13|AS-CHOOPA, US
104.238.205.36|7890|0.6.97|Linux|23470|104.238.205.0/24|US|arin|2018-08-24|RELIABLESITE, US
104.238.205.38|7890|0.6.97|Linux|23470|104.238.205.0/24|US|arin|2018-08-24|RELIABLESITE, US
104.247.219.195|7890|0.6.97|Linux|46261|104.247.216.0/21|US|arin|2014-12-09|QUICKPACKET, US
104.247.219.196|7890|0.6.97|Linux|46261|104.247.216.0/21|US|arin|2014-12-09|QUICKPACKET, US
104.251.212.131|7890|0.6.97|Linux|394727|104.251.212.0/24|US|arin|2014-12-24|NODISTO, US
104.41.34.175|7890|0.6.97|Linux|8075|104.40.0.0/13|US|arin|2014-05-07|MICROSOFT-CORP-MSN-AS-BLOCK, US
104.41.59.146|7890|0.6.97|Linux|8075|104.40.0.0/13|US|arin|2014-05-07|MICROSOFT-CORP-MSN-AS-BLOCK, US
107.150.46.98|7890|0.6.97|Linux|33387|107.150.32.0/19|US|arin|2013-12-03|NOCIX, US
107.191.50.14|7890|0.6.97|Linux|20473|107.191.48.0/22|US|arin|2014-04-25|AS-CHOOPA, US
108.160.128.138|7890|0.6.97|Linux|20473|108.160.128.0/20|US|arin|2011-10-07|AS-CHOOPA, US
108.61.127.100|7890|0.6.97|Linux|20473|108.61.126.0/23|US|arin|2010-12-08|AS-CHOOPA, US
108.61.182.27|7890|0.6.97|Linux|20473|108.61.180.0/22|US|arin|2010-12-08|AS-CHOOPA, US
108.61.251.209|7890|0.6.97|Linux|20473|108.61.251.0/24|US|arin|2010-12-08|AS-CHOOPA, US
109.235.65.200|7890|0.6.97|Linux|62282|109.235.64.0/21|LT|ripencc|2010-01-22|RACKRAY UAB Rakrejus, LT
110.44.135.87|7890|0.6.97|Windows Server 2012 R2|9370|110.44.128.0/20|JP|apnic|2009-03-11|SAKURA-B SAKURA Internet Inc., JP
116.203.111.162|7890|0.6.96|Linux|24940|116.203.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
116.203.188.139|7890|0.6.97|Linux|24940|116.203.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
118.27.16.176|7890|0.6.97|Linux|7506|118.27.0.0/17|JP|apnic|2007-08-03|INTERQ GMO Internet,Inc, JP
120.27.68.25|7890|0.6.97|Linux|37963|120.27.64.0/18|CN|apnic|2008-03-12|CNNIC-ALIBABA-CN-NET-AP Hangzhou Alibaba Advertising Co.,Ltd., CN
13.114.63.69|7890|0.6.97|Linux|16509|13.112.0.0/14|US|arin|2016-08-09|AMAZON-02, US
13.115.192.38|7890|0.6.97|Linux|16509|13.112.0.0/14|US|arin|2016-08-09|AMAZON-02, US
13.115.60.90|11001|0.6.97|Linux|16509|13.112.0.0/14|US|arin|2016-08-09|AMAZON-02, US
13.231.200.172|11001|0.6.97|Linux|16509|13.230.0.0/15|US|arin|2016-08-09|AMAZON-02, US
13.76.172.76|7890|0.6.93|Linux|8075|13.64.0.0/11|US|arin|2015-03-26|MICROSOFT-CORP-MSN-AS-BLOCK, US
13.76.243.137|7890|0.6.97|Linux|8075|13.64.0.0/11|US|arin|2015-03-26|MICROSOFT-CORP-MSN-AS-BLOCK, US
