# https://data.ripple.com/ and whois results
# Ripple Nodes
IP Address|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name|Publice Key
1.255.51.125|rippled-1.5.0|23576|1.255.50.0/23|KR|apnic|2010-07-19|NHN-AS-KR NBP, KR|n9K2vGszcodjXpDjjWMBWPj534RZgAacEDDiabvKQXmrNSfjMW86
1.255.57.150|rippled-1.5.0|23576|1.255.56.0/23|KR|apnic|2010-07-19|NHN-AS-KR NBP, KR|n9LueE775StXSFNPbGh3RmjXQv2UpVfccudSdQ9FpWh5zMrGgvB3
100.24.90.244|rippled-1.1.0|14618|100.24.0.0/13|US|arin|2018-01-10|AMAZON-AES, US|n9JgtXqBRm18uTMUQXCF5Xhhs13oP8PT3DFnJpM4sEbfc1QnAeJR
103.149.26.172|rippled-1.5.0|135377|103.149.26.0/24|HK|apnic|2020-03-04|UCLOUD-HK-AS-AP UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED, HK|n9Mh8VnkZLSC61u8bPYs3szzYumdN8o9p7uKMEn7zMXCsqYQgq72
103.235.170.35|rippled-1.6.0|63888|103.235.168.0/22|HK|apnic|2014-07-07|TISP-AS TISP LIMITED, HK|n9MukhDCMHsmqoHpvHryTc9QfBkDgfdDDASgUEq2Dg1PDN7eayJ9
103.41.105.60|rippled-1.6.0|63888|103.41.105.0/24|HK|apnic|2014-10-17|TISP-AS TISP LIMITED, HK|n9Km7BnrrxnLFPmFFDrMqjqL6GCF3o1Vcv4vrwfFssKVjTnJ8mpT
103.71.157.239|rippled-1.6.0|133203|103.71.157.0/24|JP|apnic|2016-08-11|SBIBITS-JP SBI BITS Co., Ltd., JP|n9JFUPwthn8FuydaooqyeY96fys8bgHcVxRhkKsQZmxkYfRwg7CC
104.196.107.171|rippled-1.6.0|15169|104.196.96.0/19|US|arin|2014-08-27|GOOGLE, US|n9KKZpAjjpbyuH2FeGBBNNheyUSGias7AmDeb92ZE4CawPVNVDNQ
104.199.37.81|rippled-1.6.0|15169|104.199.32.0/19|US|arin|2014-08-27|GOOGLE, US|n9ME7cPz9uvfcGuwsq8V8BEJe7bdEnQEbWdvcs2JK53NS7RNQuUE
104.207.142.109|rippled-1.5.0|20473|104.207.136.0/21|US|arin|2014-10-01|AS-CHOOPA, US|n9JbwsnZbgc2Nr2KWJs6AsfNJrcAQAFBZnFsfLyRbP1kz9WBKbQc
104.248.161.166|rippled-1.4.0|14061|104.248.160.0/20|US|arin|2018-08-06|DIGITALOCEAN-ASN, US|n9LVZfvuXC5Qyh238b7Tw8w8hanUYoZPkvZorGsm6rLQmmsAi76R
107.20.178.169|rippled-1.5.0|14618|107.20.0.0/16|US|arin|2011-05-03|AMAZON-AES, US|n9Ju3ZQSYZ42jKFCmYwpkETcYB56Ahgpq1zMNYmNLFfVK3m67g5b
109.169.87.221|rippled-1.6.0|20860|109.169.64.0/19|GB|ripencc|2009-11-02|IOMART-AS, GB|n9KRGC52Hy791Vsa1rzZPbSPPetMFwzMVFfv1t9H6oLdUVzmEykh
109.194.199.73|rippled-1.6.0|41727|109.194.192.0/20|RU|ripencc|2009-10-27|ERTH-KIROV-AS, RU|n9M9GGviyQL93ikXPyHv8H7a9UfsRzq1y8k6QGKp3EM217hF5Pge
110.10.124.15|rippled-1.6.0|9318|110.10.0.0/16|KR|apnic|2009-02-18|SKB-AS SK Broadband Co Ltd, KR|n94LoxwkeaUHqAYBc22j9ydCx2nVBzn9JgxJXSe3ibmAxZBw9RFP
110.10.124.153|rippled-1.6.0|9318|110.10.0.0/16|KR|apnic|2009-02-18|SKB-AS SK Broadband Co Ltd, KR|n94QjPDF5GFheC43Uj6FZvfxDKiJs4QNAnGFZViGJiEpnp34Pa7c
110.10.124.154|rippled-1.6.0|9318|110.10.0.0/16|KR|apnic|2009-02-18|SKB-AS SK Broadband Co Ltd, KR|n9JyxbFEPNeFPJNTuujwgQgSCfYNhN6AXmtmgwrzbDMg9NzRHZjT
113.196.66.76|rippled-1.5.0|9919|113.196.64.0/19|TW|apnic|2008-11-20|NCIC-TW New Century InfoComm Tech Co., Ltd., TW|n9L8SB39FPnW2AFDNPDS1kePqWgsFP76Q2V9JqVPmTsgNz3CK6Xg
113.67.225.57|rippled-1.6.0+DEBUG|4134|113.64.0.0/11|CN|apnic|2008-11-03|CHINANET-BACKBONE No.31,Jin-rong Street, CN|n94DWsbAifk8ShQxZuzNwRPtDtEUwBfsENDsp1fs7qQYTU8wicJL
115.68.52.217|rippled-1.5.0|38700|115.68.0.0/17|KR|apnic|2008-07-15|SMILESERV-AS-KR SMILESERV, KR|n9Lj1zeBXeVLAD8AHeFuov1YWmr2qt4v6vqTyY31zchycRYEtfFm
116.202.113.53|rippled-1.6.0|24940|116.202.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE|n9LmMJ6wTCKn7duPrMDHqSaLnzFtkN8U9BSsinNEyajGQ4pcP1YX
116.202.148.26|rippled-1.6.0|24940|116.202.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE|n9LtKvXynrK4j676QrYoSYVmBVrVvth9RLFdqnxyeAz6kwtKqCEE
