# https://explorer.lisk.io and whois results
# Lisk
IP Address|Version|OS|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
138.201.170.182|2.1.6|linux5.3.18-2-pve|24940|138.201.0.0/16|DE|ripencc|1990-05-23|HETZNER-AS, DE
139.196.210.16|2.1.6|linux4.4.0-63-generic|37963|139.196.128.0/17|CN|apnic|2011-03-09|CNNIC-ALIBABA-CN-NET-AP Hangzhou Alibaba Advertising Co.,Ltd., CN
139.59.19.35|2.1.6|linux4.4.0-178-generic|14061|139.59.16.0/20|SG|apnic|1990-06-27|DIGITALOCEAN-ASN, US
139.99.149.30|2.1.6|linux4.15.0-91-generic|16276|139.99.128.0/17|CA|arin|2016-09-09|OVH, FR
140.82.49.223|2.1.6|linux4.15.0-99-generic|20473|140.82.48.0/22|US|arin|2018-03-15|AS-CHOOPA, US
142.4.207.64|2.1.6|linux4.4.0-177-generic|16276|142.4.192.0/19|CA|arin|2012-07-23|OVH, FR
142.44.212.178|1.0.3|linux4.9.129-xxxx-std-ipv6-64|16276|142.44.128.0/17|CA|arin|2017-06-21|OVH, FR
142.44.253.160|2.1.6|linux4.4.0-174-generic|16276|142.44.128.0/17|CA|arin|2017-06-21|OVH, FR
142.93.112.83|2.1.3|linux4.4.0-141-generic|14061|142.93.112.0/20|US|arin|2018-07-12|DIGITALOCEAN-ASN, US
142.93.179.41|2.1.6|linux4.15.0-99-generic|14061|142.93.176.0/20|US|arin|2018-07-12|DIGITALOCEAN-ASN, US
144.202.61.131|2.1.6|linux4.4.0-177-generic|20473|144.202.48.0/20|US|arin|2018-02-05|AS-CHOOPA, US
145.239.28.96|2.1.6|linux4.4.0-173-generic|16276|145.239.0.0/16|FR|ripencc|1993-08-03|OVH, FR
145.239.89.194|2.1.3|linux4.4.0-127-generic|16276|145.239.0.0/16|FR|ripencc|1993-08-03|OVH, FR
148.251.17.230|2.1.6|linux5.3.18-2-pve|24940|148.251.0.0/16|DE|ripencc|1993-09-01|HETZNER-AS, DE
149.28.84.46|2.1.6|linux4.4.0-127-generic|20473|149.28.64.0/19|US|arin|2018-05-04|AS-CHOOPA, US
149.56.201.157|2.1.6|linux4.4.0-174-generic|16276|149.56.0.0/16|CA|arin|2016-02-09|OVH, FR
155.138.220.33|2.1.6|linux4.4.0-177-generic|20473|155.138.192.0/19|US|arin|2018-12-05|AS-CHOOPA, US
159.203.175.168|2.1.6|linux4.4.0-127-generic|14061|159.203.160.0/20|US|arin|2015-08-10|DIGITALOCEAN-ASN, US
159.65.204.105|2.1.4|linux4.4.0-161-generic|14061|159.65.192.0/20|US|arin|2017-10-24|DIGITALOCEAN-ASN, US
159.65.79.118|2.1.6|linux4.4.0-131-generic|14061|159.65.64.0/20|US|arin|2017-10-24|DIGITALOCEAN-ASN, US
159.69.122.111|2.1.6|linux4.15.0-29-generic|24940|159.69.0.0/16|DE|ripencc|1992-03-13|HETZNER-AS, DE
159.69.122.112|2.1.6|linux4.15.0-29-generic|24940|159.69.0.0/16|DE|ripencc|1992-03-13|HETZNER-AS, DE
159.69.122.113|2.1.6|linux4.15.0-29-generic|24940|159.69.0.0/16|DE|ripencc|1992-03-13|HETZNER-AS, DE
159.69.20.225|2.0.2|linux4.15.0-60-generic|24940|159.69.0.0/16|DE|ripencc|1992-03-13|HETZNER-AS, DE
163.172.144.224|2.1.6|linux4.9.0-11-amd64|12876|163.172.0.0/16|GB|ripencc|1992-02-14|Online SAS, FR
163.172.166.145|2.1.6|linux4.14.14-mainline-rev1|12876|163.172.0.0/16|GB|ripencc|1992-02-14|Online SAS, FR
164.132.23.73|2.1.6|linux5.4.0-29-generic|16276|164.132.0.0/16|FR|ripencc|1993-04-23|OVH, FR
167.114.247.240|2.1.6|linux4.4.0-173-generic|16276|167.114.224.0/19|CA|arin|2014-08-29|OVH, FR
167.114.25.234|2.1.2|linux3.10.0-327.el7.x86_64|16276|167.114.0.0/17|CA|arin|2014-08-29|OVH, FR
167.172.37.248|2.1.6|linux4.15.0-66-generic|14061|167.172.32.0/20|US|ripencc|1993-08-30|DIGITALOCEAN-ASN, US
167.71.254.105|2.1.6|linux4.15.0-58-generic|14061|167.71.240.0/20|US|arin|2019-04-24|DIGITALOCEAN-ASN, US
167.71.71.223|2.0.0|linux4.15.0-55-generic|14061|167.71.64.0/20|US|arin|2019-04-24|DIGITALOCEAN-ASN, US
167.86.86.87|2.1.6|linux4.15.0-65-generic|51167|167.86.86.0/23|DE|ripencc|1993-05-14|CONTABO, DE
167.86.87.165|2.1.6|linux4.15.0-65-generic|51167|167.86.86.0/23|DE|ripencc|1993-05-14|CONTABO, DE
167.99.247.194|2.1.6|linux5.0.0-38-generic|14061|167.99.240.0/20|US|arin|2017-11-10|DIGITALOCEAN-ASN, US
172.104.125.210|2.1.4|linux5.1.17-x86_64-linode128|63949|172.104.96.0/19|US|arin|2015-06-19|LINODE-AP Linode, LLC, US
172.93.50.218|2.1.6|linux5.4.0-28-generic|54540|172.93.50.0/24|US|arin|2017-01-03|INCERO-HVVC, US
176.103.50.54|2.1.6|linux3.10.0-957.5.1.el7.x86_64|48031|176.103.48.0/20|UA|ripencc|2011-12-09|XSERVER-IP-NETWORK-AS, UA
176.31.132.213|2.1.6|linux4.15.0-76-generic|16276|176.31.0.0/16|FR|ripencc|2011-05-20|OVH, FR
178.128.193.145|2.1.6|linux4.9.0-12-amd64|14061|178.128.192.0/20|NL|ripencc|2010-03-03|DIGITALOCEAN-ASN, US
178.254.43.139|2.1.6|linux4.4.0|42730|178.254.32.0/20|DE|ripencc|2010-06-18|EVANZOAS, DE
178.32.44.97|2.1.6|linux4.4.0-177-generic|16276|178.32.0.0/15|FR|ripencc|2010-01-19|OVH, FR
178.33.54.39|2.1.6|linux4.15.0-72-generic|16276|178.32.0.0/15|FR|ripencc|2010-01-19|OVH, FR
18.208.177.5|2.0.0|linux4.15.0-1057-aws|14618|18.208.0.0/13|US|arin|2018-06-29|AMAZON-AES, US
18.212.171.167|2.0.0|linux4.4.0-1102-aws|14618|18.208.0.0/13|US|arin|2018-06-29|AMAZON-AES, US
185.69.55.136|2.1.6|linux2.6.32-042stab141.3|62282|185.69.52.0/22|LT|ripencc|2014-09-05|RACKRAY UAB Rakrejus, LT
188.165.46.181|2.1.6|linux4.4.0-177-generic|16276|188.165.0.0/16|FR|ripencc|2009-06-05|OVH, FR
188.166.49.16|2.1.6|linux4.4.0-116-generic|14061|188.166.0.0/18|NL|ripencc|2009-06-05|DIGITALOCEAN-ASN, US
192.154.224.137|1.4.0|linux4.4.0-119-generic|397423|192.154.224.0/24|US|arin|2013-01-11|TIER-NET, US
192.154.224.141|1.4.0|linux4.15.0-66-generic|397423|192.154.224.0/24|US|arin|2013-01-11|TIER-NET, US
192.154.224.145|1.5.0|undefined|397423|192.154.224.0/24|US|arin|2013-01-11|TIER-NET, US
192.154.226.192|2.1.6|linux4.4.0-161-generic|397423|192.154.226.0/24|US|arin|2013-01-11|TIER-NET, US
192.154.227.22|2.1.6|linux4.15.0-55-generic|397423|192.154.227.0/24|US|arin|2013-01-11|TIER-NET, US
192.99.13.201|2.1.6|linux4.15.0-88-generic|16276|192.99.0.0/16|CA|arin|2013-06-17|OVH, FR
192.99.132.15|2.0.0|linux3.10.0-957.21.3.el7.x86_64|16276|192.99.0.0/16|CA|arin|2013-06-17|OVH, FR
192.99.188.33|2.1.6|linux4.4.0-177-generic|16276|192.99.0.0/16|CA|arin|2013-06-17|OVH, FR
192.99.228.102|2.1.6|linux4.4.0-166-generic|16276|192.99.0.0/16|CA|arin|2013-06-17|OVH, FR
192.99.228.98|2.1.6|linux4.4.0-166-generic|16276|192.99.0.0/16|CA|arin|2013-06-17|OVH, FR
192.99.228.99|2.1.6|linux4.4.0-166-generic|16276|192.99.0.0/16|CA|arin|2013-06-17|OVH, FR
192.99.55.209|2.1.6|linux4.4.0-177-generic|16276|192.99.0.0/16|CA|arin|2013-06-17|OVH, FR
193.203.48.109|2.1.6|linux3.10.0-957.10.1.el7.x86_64|48031|193.203.48.0/22|UA|ripencc|2006-07-05|XSERVER-IP-NETWORK-AS, UA
193.70.86.148|2.1.6|linux4.4.0-170-generic|16276|193.70.0.0/17|FR|ripencc|1993-09-01|OVH, FR
194.135.82.141|1.5.0|linux2.6.32-042stab141.3|62282|194.135.80.0/20|LT|ripencc|1995-02-06|RACKRAY UAB Rakrejus, LT
194.135.92.72|2.1.6|linux2.6.32-042stab141.3|62282|194.135.80.0/20|LT|ripencc|1995-02-06|RACKRAY UAB Rakrejus, LT
195.201.110.220|2.1.6|linux4.15.0-74-generic|24940|195.201.0.0/16|DE|ripencc|1997-09-22|HETZNER-AS, DE
198.58.104.143|2.1.3|linux5.4.10-x86_64-linode132|63949|198.58.96.0/19|US|arin|2012-08-10|LINODE-AP Linode, LLC, US
198.58.106.32|2.1.3|linux4.15.0-32-generic|63949|198.58.96.0/19|US|arin|2012-08-10|LINODE-AP Linode, LLC, US
199.127.61.32|2.1.3|linux4.4.0-104-generic|23470|199.127.61.0/24|US|arin|2017-05-24|RELIABLESITE, US
199.247.2.100|2.1.6|linux4.4.0-137-generic|20473|199.247.0.0/21|EU|ripencc|1996-04-09|AS-CHOOPA, US
199.247.29.73|2.1.6|linux4.15.0-99-generic|20473|199.247.24.0/21|EU|ripencc|1996-04-09|AS-CHOOPA, US
2.56.213.101|2.0.0|linux4.15.0-65-generic|202448|2.56.213.0/24|NL|ripencc|2019-03-15|MVPS https://www.mvps.net, EU
20.188.0.171|2.1.2|linux4.15.0-1055-azure|8075|20.184.0.0/13|US|arin|2017-02-22|MICROSOFT-CORP-MSN-AS-BLOCK, US
207.154.223.153|2.1.6|linux4.4.0-116-generic|14061|207.154.208.0/20|US|arin|2016-04-12|DIGITALOCEAN-ASN, US
209.182.233.165|2.1.6|linux4.4.0-148-generic|54540|209.182.233.0/24|US|arin|2017-04-25|INCERO-HVVC, US
209.222.98.250|2.1.2|linux4.15.0-50-generic|23470|209.222.98.0/24|US|arin|2015-10-02|RELIABLESITE, US
209.250.236.241|2.1.3|linux4.15.0-62-generic|20473|209.250.232.0/21|EU|ripencc|2006-06-08|AS-CHOOPA, US
209.250.245.204|2.1.6|linux4.4.0-177-generic|20473|209.250.240.0/21|EU|ripencc|2006-06-08|AS-CHOOPA, US
209.50.49.35|2.1.6|linux4.15.0-99-generic|25697|209.50.48.0/21|US|arin|2016-01-15|UPCLOUDUSA, US
212.24.107.208|2.1.6|linux2.6.32-042stab141.3|62282|212.24.96.0/20|LT|ripencc|1999-08-16|RACKRAY UAB Rakrejus, LT
212.24.96.26|2.1.4|linux4.4.0|62282|212.24.96.0/20|LT|ripencc|1999-08-16|RACKRAY UAB Rakrejus, LT
212.24.97.2|2.0.1|linux2.6.32-042stab141.3|62282|212.24.96.0/20|LT|ripencc|1999-08-16|RACKRAY UAB Rakrejus, LT
213.222.210.80|2.1.4|linux4.4.0-166-generic|28785|213.222.210.0/24|PL|ripencc|2003-03-17|ASSECODS, PL
23.100.99.149|2.1.2|linux5.0.0-1014-azure|8075|23.100.0.0/15|US|arin|2013-06-18|MICROSOFT-CORP-MSN-AS-BLOCK, US
23.227.163.138|2.1.4|linux2.6.32-042stab127.2|29802|23.227.163.0/24|US|arin|2013-09-23|HVC-AS, US
23.227.163.67|2.1.4|linux4.15.0|29802|23.227.163.0/24|US|arin|2013-09-23|HVC-AS, US
23.92.53.136|2.1.3|linux2.6.32-042stab127.2|8100|23.92.52.0/22|US|arin|2013-08-16|ASN-QUADRANET-GLOBAL, US
23.92.53.168|2.1.6|linux2.6.32-042stab127.2|8100|23.92.52.0/22|US|arin|2013-08-16|ASN-QUADRANET-GLOBAL, US
23.92.53.23|2.1.6|linux2.6.32-042stab127.2|8100|23.92.52.0/22|US|arin|2013-08-16|ASN-QUADRANET-GLOBAL, US
23.92.54.42|2.1.2|linux2.6.32-042stab127.2|8100|23.92.52.0/22|US|arin|2013-08-16|ASN-QUADRANET-GLOBAL, US
35.173.231.194|2.0.0|linux4.4.0-1101-aws|14618|35.168.0.0/13|US|arin|2016-08-09|AMAZON-AES, US
37.120.166.50|2.1.3|linux4.15.0-58-generic|197540|37.120.160.0/19|DE|ripencc|2012-02-13|NETCUP-AS netcup GmbH, DE
37.59.138.18|2.1.6|linux4.15.18-26-pve|16276|37.59.0.0/16|FR|ripencc|2012-01-16|OVH, FR
40.115.232.85|2.0.1|linux4.15.0-1059-azure|8075|40.64.0.0/10|US|arin|2015-02-23|MICROSOFT-CORP-MSN-AS-BLOCK, US
43.224.34.30|2.1.6|linux4.4.0-178-generic|20473|43.224.32.0/22|JP|apnic|2014-11-19|AS-CHOOPA, US
45.32.129.67|2.1.6|linux4.4.0-177-generic|20473|45.32.128.0/20|US|arin|2015-02-17|AS-CHOOPA, US
45.32.159.236|2.1.3|linux3.13.0-147-generic|20473|45.32.152.0/21|US|arin|2015-02-17|AS-CHOOPA, US
45.63.43.50|2.1.6|linux4.4.0-154-generic|20473|45.63.40.0/22|US|arin|2015-01-02|AS-CHOOPA, US
45.63.99.172|2.1.6|linux4.15.0-99-generic|20473|45.63.96.0/21|US|arin|2015-01-02|AS-CHOOPA, US
45.76.129.152|2.1.6|linux4.4.0-137-generic|20473|45.76.128.0/20|US|arin|2015-04-24|AS-CHOOPA, US
45.76.136.94|2.1.6|linux4.15.0-99-generic|20473|45.76.128.0/20|US|arin|2015-04-24|AS-CHOOPA, US
45.76.32.23|2.1.3|linux4.10.0-24-generic|20473|45.76.32.0/21|US|arin|2015-04-24|AS-CHOOPA, US
45.76.43.85|2.1.6|linux4.15.0-23-generic|20473|45.76.40.0/22|US|arin|2015-04-24|AS-CHOOPA, US
45.76.95.29|2.1.6|linux4.4.0-109-generic|20473|45.76.80.0/20|US|arin|2015-04-24|AS-CHOOPA, US
45.77.123.210|2.0.2|linux4.4.0-159-generic|20473|45.77.120.0/21|US|arin|2015-04-24|AS-CHOOPA, US
45.77.140.102|2.1.6|linux4.4.0-177-generic|20473|45.77.140.0/22|US|arin|2015-04-24|AS-CHOOPA, US
45.77.142.245|2.1.4|linux4.4.0-174-generic|20473|45.77.140.0/22|US|arin|2015-04-24|AS-CHOOPA, US
45.77.71.214|2.1.6|linux4.15.0-99-generic|20473|45.77.68.0/22|US|arin|2015-04-24|AS-CHOOPA, US
46.101.238.234|2.1.4|linux4.4.0-174-generic|14061|46.101.128.0/17|NL|ripencc|2010-06-24|DIGITALOCEAN-ASN, US
46.105.98.157|2.1.6|linux4.15.0-58-generic|16276|46.105.0.0/16|FR|ripencc|2010-11-29|OVH, FR
46.4.80.152|1.3.0|linux4.15.0-88-generic|24940|46.4.0.0/16|DE|ripencc|2010-08-19|HETZNER-AS, DE
46.4.82.232|2.1.6|linux4.15.0-58-generic|24940|46.4.0.0/16|DE|ripencc|2010-08-19|HETZNER-AS, DE
47.92.254.255|2.0.1|linux4.4.0-117-generic|37963|47.92.0.0/15|CN|apnic|1989-01-06|CNNIC-ALIBABA-CN-NET-AP Hangzhou Alibaba Advertising Co.,Ltd., CN
47.93.19.241|2.1.6|linux4.4.0-63-generic|37963|47.92.0.0/15|CN|apnic|1989-01-06|CNNIC-ALIBABA-CN-NET-AP Hangzhou Alibaba Advertising Co.,Ltd., CN
49.12.15.40|2.1.6|linux4.15.0-96-generic|24940|49.12.0.0/16|DE|ripencc|2010-10-21|HETZNER-AS, DE
5.135.160.213|2.1.6|linux4.19-ovh-xxxx-std-ipv6-64|16276|5.135.0.0/16|FR|ripencc|2012-07-06|OVH, FR
5.135.72.51|2.1.3|linux4.15.18-27-pve|16276|5.135.0.0/16|FR|ripencc|2012-07-06|OVH, FR
5.189.129.197|2.1.6|linux4.15.0-96-generic|51167|5.189.128.0/20|DE|ripencc|2012-08-09|CONTABO, DE
5.196.175.131|2.1.6|linux4.15.18-26-pve|16276|5.196.0.0/16|FR|ripencc|2012-08-23|OVH, FR
5.9.99.62|2.1.1|linux4.15.0-29-generic|24940|5.9.0.0/16|DE|ripencc|2012-04-25|HETZNER-AS, DE
51.15.202.189|2.1.6|linux4.14.13-mainline-rev1|12876|51.15.0.0/16|FR|ripencc|1993-09-01|Online SAS, FR
51.15.212.14|2.1.6|linux4.4.96-mainline-rev1|12876|51.15.0.0/16|FR|ripencc|1993-09-01|Online SAS, FR
51.158.64.205|2.1.4|linux4.4.127-mainline-rev1|12876|51.158.0.0/15|FR|ripencc|1993-09-01|Online SAS, FR
51.178.29.237|2.1.3|linux4.9.0-11-amd64|16276|51.178.0.0/16|FR|ripencc|1993-09-01|OVH, FR
51.255.194.230|2.1.3|linux4.4.0-161-generic|16276|51.254.0.0/15|FR|ripencc|1993-09-01|OVH, FR
51.255.87.121|1.3.0|undefined|16276|51.254.0.0/15|FR|ripencc|1993-09-01|OVH, FR
51.255.87.64|2.1.6|linux3.14.32-xxxx-grs-ipv6-64|16276|51.254.0.0/15|FR|ripencc|1993-09-01|OVH, FR
51.75.171.151|2.1.6|linux5.4.0-26-generic|16276|51.75.0.0/16|FR|ripencc|1993-09-01|OVH, FR
51.75.88.133|2.1.6|linux4.15.0-96-generic|16276|51.75.0.0/16|FR|ripencc|1993-09-01|OVH, FR
52.140.240.91|2.1.4|linux5.0.0-1027-azure|8075|52.136.0.0/13|US|arin|2015-11-24|MICROSOFT-CORP-MSN-AS-BLOCK, US
52.192.147.92|2.1.6|linux4.15.0-47-generic|16509|52.192.0.0/15|US|arin|2015-09-02|AMAZON-02, US
52.211.201.64|2.1.5|linux4.15.0-1043-aws|16509|52.208.0.0/13|US|arin|2015-09-02|AMAZON-02, US
54.229.214.222|2.1.5|linux4.14.152-127.182.amzn2.x86_64|16509|54.229.128.0/17|US|arin|2012-03-01|AMAZON-02, US
54.37.194.8|2.1.6|linux5.4.0-29-generic|16276|54.37.0.0/16|FR|ripencc|1992-03-17|OVH, FR
62.171.142.206|2.1.6|linux4.19.0-8-amd64|51167|62.171.142.0/23|DE|ripencc|2000-08-18|CONTABO, DE
62.171.178.55|2.1.6|linux5.4.0-28-generic|51167|62.171.178.0/23|DE|ripencc|2000-08-18|CONTABO, DE
63.142.250.213|2.1.3|linux4.4.0|394727|63.142.250.0/24|US|arin|2014-04-30|NODISTO, US
66.42.104.220|2.1.6|linux4.15.0-99-generic|20473|66.42.96.0/20|US|arin|2018-05-07|AS-CHOOPA, US
66.70.149.97|2.1.6|linux4.4.0-177-generic|16276|66.70.128.0/17|CA|arin|2017-02-13|OVH, FR
67.207.86.142|2.1.4|linux4.4.0-174-generic|14061|67.207.80.0/20|US|arin|2016-04-12|DIGITALOCEAN-ASN, US
68.183.11.97|2.1.6|linux4.15.0-72-generic|14061|68.183.0.0/20|US|arin|2018-09-18|DIGITALOCEAN-ASN, US
78.141.207.29|2.1.6|linux4.15.0-99-generic|20473|78.141.192.0/20|FR|ripencc|2007-07-30|AS-CHOOPA, US
78.46.147.196|2.1.3|linux4.15.0-64-generic|24940|78.46.0.0/15|DE|ripencc|2007-04-16|HETZNER-AS, DE
78.46.178.236|2.1.6|linux4.15.0-96-generic|24940|78.46.0.0/15|DE|ripencc|2007-04-16|HETZNER-AS, DE
78.46.190.174|2.1.6|linux4.15.0-54-generic|24940|78.46.0.0/15|DE|ripencc|2007-04-16|HETZNER-AS, DE
79.143.179.136|2.1.6|linux4.15.0-65-generic|51167|79.143.178.0/23|DE|ripencc|2010-01-08|CONTABO, DE
80.211.177.139|2.1.6|linux4.9.0-6-amd64|31034|80.211.128.0/18|IT|ripencc|2001-12-12|ARUBA-ASN, IT
80.240.19.221|2.1.6|linux4.15.0-36-generic|20473|80.240.16.0/20|DE|ripencc|2005-08-12|AS-CHOOPA, US
80.240.26.133|2.1.6|linux4.15.0-36-generic|20473|80.240.16.0/20|DE|ripencc|2005-08-12|AS-CHOOPA, US
80.240.29.140|1.0.2||20473|80.240.16.0/20|DE|ripencc|2005-08-12|AS-CHOOPA, US
81.2.252.234|2.0.0|linux4.4.0-177-generic|24806|81.2.192.0/18|CZ|ripencc|2002-04-04|INTERNET-CZ Ktis 2, 384 03 Ktis, CZ
82.202.246.127|2.1.6|linux4.4.0-148-generic|50340|82.202.246.0/24|RU|ripencc|2003-10-06|SELECTEL-MSK, RU
85.214.245.14|2.1.3|linux4.15.0|6724|85.214.0.0/15|DE|ripencc|2005-02-24|STRATO STRATO AG, DE
85.25.207.18|2.1.4|linux4.15.0-96-generic|8972|85.25.207.0/24|DE|ripencc|2005-12-05|GD-EMEA-DC-SXB1, DE
88.198.161.47|2.1.6|linux4.15.0-91-generic|24940|88.198.0.0/16|DE|ripencc|2005-12-27|HETZNER-AS, DE
88.99.142.105|2.1.6|linux4.15.0-52-generic|24940|88.99.0.0/16|DE|ripencc|2005-08-03|HETZNER-AS, DE
88.99.235.240|2.1.6|linux4.4.0-66-generic|24940|88.99.0.0/16|DE|ripencc|2005-08-03|HETZNER-AS, DE
