# https://explorer.lisk.io and whois results
# Lisk
IP Address|Version|OS|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
101.200.220.254|2.1.6|linux4.4.0-63-generic|37963|101.200.0.0/16|CN|apnic|2011-01-24|CNNIC-ALIBABA-CN-NET-AP Hangzhou Alibaba Advertising Co.,Ltd., CN
104.207.130.143|2.1.6|linux4.4.0-174-generic|20473|104.207.130.0/23|US|arin|2014-10-01|AS-CHOOPA, US
104.207.147.65|2.1.6|linux3.13.0-125-generic|20473|104.207.144.0/22|US|arin|2014-10-01|AS-CHOOPA, US
104.237.0.221|2.1.6|linux4.4.0|29802|104.237.0.0/24|US|arin|2014-11-03|HVC-AS, US
104.237.1.202|2.1.4|linux2.6.32-042stab127.2|29802|104.237.1.0/24|US|arin|2014-11-03|HVC-AS, US
104.237.13.25|2.1.4|linux4.15.0|394727|104.237.13.0/24|US|arin|2014-11-03|NODISTO, US
104.237.2.140|2.1.6|linux4.4.0|394727|104.237.2.0/24|US|arin|2014-11-03|NODISTO, US
104.237.2.167|2.1.4|linux4.15.0|394727|104.237.2.0/24|US|arin|2014-11-03|NODISTO, US
104.237.2.182|2.1.6|linux4.4.0|394727|104.237.2.0/24|US|arin|2014-11-03|NODISTO, US
104.237.2.227|2.1.3|linux4.4.0|394727|104.237.2.0/24|US|arin|2014-11-03|NODISTO, US
104.237.3.226|2.1.3|linux4.4.0|394727|104.237.3.0/24|US|arin|2014-11-03|NODISTO, US
104.237.3.228|2.1.3|linux4.4.0|394727|104.237.3.0/24|US|arin|2014-11-03|NODISTO, US
104.237.3.229|2.0.1|linux4.4.0|394727|104.237.3.0/24|US|arin|2014-11-03|NODISTO, US
104.237.9.142|2.0.0|linux4.15.0|394727|104.237.9.0/24|US|arin|2014-11-03|NODISTO, US
104.237.9.78|2.1.6|linux4.15.0|394727|104.237.9.0/24|US|arin|2014-11-03|NODISTO, US
104.238.153.41|2.1.6|linux4.15.0-66-generic|20473|104.238.152.0/22|US|arin|2014-11-13|AS-CHOOPA, US
104.238.159.105|2.1.6|linux4.4.0-161-generic|20473|104.238.158.0/23|US|arin|2014-11-13|AS-CHOOPA, US
104.238.167.150|2.0.0|linux4.15.0-88-generic|20473|104.238.166.0/23|US|arin|2014-11-13|AS-CHOOPA, US
104.251.212.201|2.1.4|linux4.4.0|394727|104.251.212.0/24|US|arin|2014-12-24|NODISTO, US
104.251.214.182|2.1.6|linux4.4.0|54540|104.251.214.0/24|US|arin|2014-12-24|INCERO-HVVC, US
104.251.214.188|2.1.6|linux4.15.0|54540|104.251.214.0/24|US|arin|2014-12-24|INCERO-HVVC, US
104.251.214.222|2.1.6|linux4.15.0|54540|104.251.214.0/24|US|arin|2014-12-24|INCERO-HVVC, US
104.251.215.189|2.1.6|linux4.4.0|394727|104.251.215.0/24|US|arin|2014-12-24|NODISTO, US
104.251.215.205|2.1.2|linux4.4.0|394727|104.251.215.0/24|US|arin|2014-12-24|NODISTO, US
104.251.215.6|2.1.4|linux4.4.0|394727|104.251.215.0/24|US|arin|2014-12-24|NODISTO, US
104.251.215.8|2.1.3|linux4.9.0|394727|104.251.215.0/24|US|arin|2014-12-24|NODISTO, US
104.251.216.48|2.1.6|linux4.4.0|394727|104.251.216.0/24|US|arin|2014-12-24|NODISTO, US
104.251.217.12|2.1.6|linux4.4.0|394727|104.251.217.0/24|US|arin|2014-12-24|NODISTO, US
104.251.217.128|2.1.6|linux4.4.0|394727|104.251.217.0/24|US|arin|2014-12-24|NODISTO, US
108.61.189.110|2.1.6|linux4.4.0-151-generic|20473|108.61.188.0/23|US|arin|2010-12-08|AS-CHOOPA, US
108.61.205.251|2.1.6|linux4.4.0-177-generic|20473|108.61.204.0/23|US|arin|2010-12-08|AS-CHOOPA, US
109.237.212.174|2.1.6|linux4.15.0|200831|109.237.208.0/20|NL|ripencc|2010-01-18|MIHOSNET, NL
116.202.110.148|2.1.6|linux4.15.0-96-generic|24940|116.202.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
116.202.18.101|2.1.6|linux4.15.0-96-generic|24940|116.202.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
116.203.130.197|2.0.0|linux4.15.0-96-generic|24940|116.203.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
116.203.131.225|2.1.6|linux4.15.0-54-generic|24940|116.203.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
116.203.136.118|2.1.6|linux4.15.0-54-generic|24940|116.203.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
116.203.140.51|2.1.6|linux4.15.0-54-generic|24940|116.203.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
116.203.24.54|2.1.6|linux4.15.0-96-generic|24940|116.203.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
116.203.30.93|2.1.6|linux4.15.0-42-generic|24940|116.203.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
116.203.73.30|2.1.3|linux4.15.0-43-generic|24940|116.203.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
116.203.94.123|2.1.6|linux4.15.0-58-generic|24940|116.203.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
13.231.186.128|2.1.6|linux4.15.0-47-generic|16509|13.230.0.0/15|US|arin|2016-08-09|AMAZON-02, US
13.71.145.103|2.1.2|linux4.15.0-1056-azure|8075|13.64.0.0/11|US|arin|2015-03-26|MICROSOFT-CORP-MSN-AS-BLOCK, US
134.209.193.55|2.1.6|linux4.15.0-91-generic|14061|134.209.192.0/20|US|arin|2018-10-18|DIGITALOCEAN-ASN, US
134.209.205.135|2.1.4-rc.0|linux4.15.0-74-generic|14061|134.209.192.0/20|US|arin|2018-10-18|DIGITALOCEAN-ASN, US
134.209.226.36|2.1.4|linux4.15.0-66-generic|14061|134.209.224.0/20|US|arin|2018-10-18|DIGITALOCEAN-ASN, US
136.144.227.14|2.1.6|linux4.19.0-6-amd64|20857|136.144.192.0/18|NL|ripencc|1989-08-29|TRANSIP-AS Amsterdam, the Netherlands, NL
136.244.99.223|2.1.6|linux4.15.0-99-generic|20473|136.244.96.0/20|US|arin|2019-04-08|AS-CHOOPA, US
137.74.20.85|2.1.2|linux4.15.18-25-pve|16276|137.74.0.0/16|FR|ripencc|1988-11-23|OVH, FR
137.74.20.86|2.1.6|linux4.15.18-25-pve|16276|137.74.0.0/16|FR|ripencc|1988-11-23|OVH, FR
137.74.28.190|2.1.6|linux4.4.0-173-generic|16276|137.74.0.0/16|FR|ripencc|1988-11-23|OVH, FR
137.74.4.166|2.1.4|linux4.9.140-xxxx-std-ipv6-64|16276|137.74.0.0/16|FR|ripencc|1988-11-23|OVH, FR
138.201.170.181|2.1.6|linux5.3.18-2-pve|24940|138.201.0.0/16|DE|ripencc|1990-05-23|HETZNER-AS, DE
