# https://winexplorer.info and whois results
# WincashCoin
IP Address|Version|protocol|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
116.202.47.198|WINCASHCOIN Core:1.0.1|70918|24940|116.202.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
136.244.82.57|WINCASHCOIN Core:1.0.1|70918|20473|136.244.80.0/20|US|arin|2019-04-08|AS-CHOOPA, US
140.82.33.5|WINCASHCOIN Core:1.0.1|70918|20473|140.82.32.0/21|US|arin|2018-03-15|AS-CHOOPA, US
147.139.172.155|WINCASHCOIN Core:1.0.1|70918|45102|147.139.128.0/18|US|arin|2016-12-19|CNNIC-ALIBABA-US-NET-AP Alibaba (US) Technology Co., Ltd., CN
147.139.172.88|WINCASHCOIN Core:1.0.1|70918|45102|147.139.128.0/18|US|arin|2016-12-19|CNNIC-ALIBABA-US-NET-AP Alibaba (US) Technology Co., Ltd., CN
149.129.215.151|WINCASHCOIN Core:1.0.1|70918|45102|149.129.192.0/19|SG|apnic|1991-04-12|CNNIC-ALIBABA-US-NET-AP Alibaba (US) Technology Co., Ltd., CN
149.129.220.133|WINCASHCOIN Core:1.0.1|70918|45102|149.129.192.0/19|SG|apnic|1991-04-12|CNNIC-ALIBABA-US-NET-AP Alibaba (US) Technology Co., Ltd., CN
149.129.232.158|WINCASHCOIN Core:1.0.1|70918|45102|149.129.224.0/19|SG|apnic|1991-04-12|CNNIC-ALIBABA-US-NET-AP Alibaba (US) Technology Co., Ltd., CN
149.129.241.169|WINCASHCOIN Core:1.0.1|70918|45102|149.129.224.0/19|SG|apnic|1991-04-12|CNNIC-ALIBABA-US-NET-AP Alibaba (US) Technology Co., Ltd., CN
149.129.248.37|WINCASHCOIN Core:1.0.1|70918|45102|149.129.224.0/19|SG|apnic|1991-04-12|CNNIC-ALIBABA-US-NET-AP Alibaba (US) Technology Co., Ltd., CN
149.129.250.196|WINCASHCOIN Core:1.0.1|70918|45102|149.129.224.0/19|SG|apnic|1991-04-12|CNNIC-ALIBABA-US-NET-AP Alibaba (US) Technology Co., Ltd., CN
